2345,智邦科技股份有限公司,	22099287,1995/11/15
2347,聯強國際股份有限公司,	23060541,1995/12/13
2348,海悅國際開發股份有限公司,	22624873,1996/01/05
2349,錸德科技股份有限公司,	23218873,1996/04/23
2351,順德工業股份有限公司,	58506816,1996/04/25
2352,佳世達科技股份有限公司,	12490306,1996/07/22
2353,宏碁股份有限公司,	20828393,1996/09/18
2354,鴻準精密工業股份有限公司,	23707801,1996/10/08
2355,敬鵬工業股份有限公司,	43816068,1996/10/14
2356,英業達股份有限公司,	04322046,1996/11/13
2357,華碩電腦股份有限公司,	23638777,1996/11/14
2359,所羅門股份有限公司,	23640801,1996/12/19
2360,致茂電子股份有限公司,	09461025,1996/12/21
2362,藍天電腦股份有限公司,	09424319,1997/04/02
2363,矽統科技股份有限公司,	22099202,1997/08/01
2364,倫飛電腦實業股份有限公司,	79883646,1997/08/11
2365,昆盈企業股份有限公司,	05141520,1997/11/03
2367,燿華電子股份有限公司,	05637971,1997/12/13
2368,金像電子(股)公司,	30955404,1998/03/09
2369,菱生精密工業股份有限公司,	55625676,1998/04/10
2371,大同股份有限公司,	11026506,1962/02/09
2373,震旦行股份有限公司,	03568400,1991/08/01
2374,佳能企業股份有限公司,	11394902,1995/01/16
2375,凱美電機股份有限公司,	34230543,1998/08/29
2376,技嘉科技股份有限公司,	22044755,1998/09/24
2377,微星科技股份有限公司,	22178368,1998/10/31
2379,瑞昱半導體股份有限公司,	22671299,1998/10/26
2380,虹光精密工業股份有限公司,	22099759,1998/12/03
2382,廣達電腦股份有限公司,	22822281,1999/01/08
2383,台光電子材料股份有限公司,	86521351,1998/11/27
2385,群光電子股份有限公司,	20954200,1999/01/05
2387,精元電腦股份有限公司,	86244265,1999/01/25
2388,威盛電子股份有限公司,	86870786,1999/03/05
2390,云辰電子開發股份有限公司,	34412092,1999/06/15
2392,正崴精密工業股份有限公司,	22223510,1999/09/20
2393,億光電子工業股份有限公司,	34516147,1999/11/04
2395,研華股份有限公司,	05155853,1999/12/13
2397,友通資訊股份有限公司,	30950652,2000/01/15
2399,映泰股份有限公司,	23826200,1999/12/16
2401,凌陽科技股份有限公司,	23821182,2000/01/27
2402,毅嘉科技股份有限公司,	23588039,2000/01/14
2404,漢唐集成股份有限公司,	20938096,2000/03/14
2405,輔信科技股份有限公司,	20980880,2000/03/17
2406,國碩科技工業股份有限公司,	97178376,2000/04/29
2408,南亞科技股份有限公司,	89390656,2000/08/17
2409,友達光電股份有限公司,	84149738,2000/09/08
2412,中華電信股份有限公司,	96979933,2000/10/27
2413,環隆科技股份有限公司,	52878846,2000/09/11
2414,精技電腦股份有限公司,	12215548,2000/09/11
2415,錩新科技股份有限公司,	44913118,2000/09/11
2417,圓剛科技股份有限公司,	23611974,2000/09/11
2419,仲琦科技股份有限公司,	22029190,2000/09/11
2420,新巨企業股份有限公司,	20970807,2000/09/11
2421,建準電機工業股份有限公司,	81448796,2000/09/11
2423,固緯電子實業股份有限公司,	04735004,2000/09/11
2424,隴華電子股份有限公司,	04926876,2000/09/11
2425,承啟科技股份有限公司,	22332192,2000/09/11
2426,鼎元光電科技股份有限公司,	22434156,2000/09/11
2427,三商電腦股份有限公司,	31275691,2000/09/11
2428,興勤電子工業股份有限公司,	83639504,2000/09/11
2429,銘旺科技股份有限公司,	12206203,2000/09/11
2430,燦坤實業股份有限公司,	69568009,2000/09/11
2431,聯昌電子企業股份有限公司,	35568331,2000/09/11
2432,倚天酷碁股份有限公司,	22089345,2023/05/31
2433,互盛股份有限公司,	12516241,2000/09/11
2434,統懋半導體股份有限公司,	22404266,2000/09/11
2436,偉詮電子股份有限公司,	22099499,2000/09/11
2438,翔耀實業股份有限公司,	12364770,2000/09/11
2439,美律實業股份有限公司,	52375605,2000/09/11
2440,太空梭高傳真資訊科技(股)公司,	01887370,2000/11/10
2441,超豐電子股份有限公司,	05126366,2000/10/26
2442,新美齊股份有限公司,	22006274,2000/11/22
2444,兆勁科技股份有限公司,	89549446,2000/12/08
2449,京元電子股份有限公司,	22507241,2001/05/09
2450,神腦國際企業股份有限公司,	12228473,2001/05/24
2451,創見資訊股份有限公司,	23446187,2001/05/03
2453,凌群電腦股份有限公司,	04967550,2001/05/22
2454,聯發科技股份有限公司,	84149961,2001/07/23
2455,全新光電科技股份有限公司,	97170472,2002/01/24
2457,飛宏科技股份有限公司,	30435973,2001/09/17
2458,義隆電子股份有限公司,	84149224,2001/09/17
2459,敦吉科技股份有限公司,	20863763,2001/09/17
2460,建通精密工業股份有限公司,	84433564,2001/09/17
2461,光群雷射科技股份有限公司,	22099322,2001/09/17
2462,台灣良得電子股份有限公司,	04877657,2001/09/17
2464,盟立自動化股份有限公司,	22099478,2001/09/17
2465,麗臺科技股份有限公司,	22325002,2001/09/19
2466,冠西電子企業股份有限公司,	34348590,2001/09/17
2467,志聖工業股份有限公司,	07618057,2001/09/17
2468,華經資訊企業股份有限公司,	12115702,2001/09/17
2471,資通電腦股份有限公司,	20873360,2001/09/17
2472,立隆電子工業股份有限公司,	52358985,2001/09/17
2474,可成科技股份有限公司,	69905810,2001/09/17
2476,鉅祥企業股份有限公司,	04403568,2001/09/17
2477,美隆工業股份有限公司,	33750329,2001/09/17
2478,大毅科技股份有限公司,	23534301,2001/09/17
2480,敦陽科技股份有限公司,	84218848,2001/09/17
2481,強茂股份有限公司,	22145016,2001/09/17
